2015/05/02 22:12:40 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : Student Login 
2015/05/02 22:12:40 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group Student Login. 
2015/05/02 22:12:40 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:12:40 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 10 ramp-up 20 perThread 2000.0 delayedStart=false 
2015/05/02 22:12:40 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-1 
2015/05/02 22:12:40 INFO  - jmeter.threads.JMeterThread: Thread started: Admin User 1-1 
2015/05/02 22:12:40 INFO  - jmeter.services.FileServer: Stored: login.txt 
2015/05/02 22:12:40 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2015/05/02 22:12:40 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/05/02 22:12:40 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = ubuntu 
2015/05/02 22:12:40 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 0 
2015/05/02 22:12:40 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2015/05/02 22:12:40 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2015/05/02 22:12:40 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2015/05/02 22:12:42 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-1 
2015/05/02 22:12:42 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-2 
2015/05/02 22:12:42 INFO  - jmeter.threads.JMeterThread: Thread finished: Admin User 1-1 
2015/05/02 22:12:43 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-2 
2015/05/02 22:12:44 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-3 
2015/05/02 22:12:45 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-3 
2015/05/02 22:12:46 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-4 
2015/05/02 22:12:47 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-4 
2015/05/02 22:12:48 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-5 
2015/05/02 22:12:49 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-5 
2015/05/02 22:12:50 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-6 
2015/05/02 22:12:51 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-6 
2015/05/02 22:12:52 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-7 
2015/05/02 22:12:53 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-7 
2015/05/02 22:12:54 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-8 
2015/05/02 22:12:55 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-8 
2015/05/02 22:12:56 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-9 
2015/05/02 22:12:57 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-9 
2015/05/02 22:12:58 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-10 
2015/05/02 22:12:59 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-10 
2015/05/02 22:12:59 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/05/02 22:12:59 INFO  - jmeter.services.FileServer: Close: login.txt 
2015/05/02 22:12:59 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(false,*local*) 
2015/05/02 22:20:22 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2015/05/02 22:20:22 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2015/05/02 22:20:22 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2015/05/02 22:20:22 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Admin User 
2015/05/02 22:20:22 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group Admin User. 
2015/05/02 22:20:22 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:20:22 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2015/05/02 22:20:22 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2015/05/02 22:20:22 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 2 : Student Login 
2015/05/02 22:20:22 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group Student Login. 
2015/05/02 22:20:22 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2015/05/02 22:20:22 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 2 threads 10 ramp-up 20 perThread 2000.0 delayedStart=false 
2015/05/02 22:20:22 INFO  - jmeter.threads.JMeterThread: Thread started: Admin User 1-1 
2015/05/02 22:20:22 INFO  - jmeter.services.FileServer: Stored: login.txt 
2015/05/02 22:20:22 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-1 
2015/05/02 22:20:22 INFO  - jmeter.threads.ThreadGroup: Started thread group number 2 
2015/05/02 22:20:22 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2015/05/02 22:20:24 INFO  - jmeter.threads.JMeterThread: Thread finished: Admin User 1-1 
2015/05/02 22:20:24 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-1 
2015/05/02 22:20:24 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-2 
2015/05/02 22:20:26 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-2 
2015/05/02 22:20:26 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-3 
2015/05/02 22:20:28 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-3 
2015/05/02 22:20:28 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-4 
2015/05/02 22:20:29 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-4 
2015/05/02 22:20:30 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-5 
2015/05/02 22:20:32 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-5 
2015/05/02 22:20:32 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-6 
2015/05/02 22:20:34 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-6 
2015/05/02 22:20:34 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-7 
2015/05/02 22:20:36 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-7 
2015/05/02 22:20:36 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-8 
2015/05/02 22:20:38 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-8 
2015/05/02 22:20:38 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-9 
2015/05/02 22:20:40 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-9 
2015/05/02 22:20:40 INFO  - jmeter.threads.JMeterThread: Thread started: Student Login 2-10 
2015/05/02 22:20:42 INFO  - jmeter.threads.JMeterThread: Thread finished: Student Login 2-10 
2015/05/02 22:20:42 INFO  - jmeter.engine.StandardJMeterEngine: Notifying test listeners of end of test 
2015/05/02 22:20:42 INFO  - jmeter.services.FileServer: Close: login.txt 
